N° Boutique;Nom;Adresse;Tél;Couriel;Contact;Remise
B1;Xpaginata;133 chemin des marrons 78300 Tours ;678784581;pla@xpaginata.com;Pla;0.08
B2;Hotpex;57 avenue des feuilles 10212 Caen ;756061286;gil@hotpex.com;Gil;0.13
B3;Ovedecon Adventures;71 rue des sapins 58000 Bordeaux ;604624382;esteve@ovedecon adventures.com;Esteve;0.49
B4;Xlericash;134 avenue Henry 84000 Limoges  ;774036177;bonnet@xlericash.com;Bonnet;0.12
B5;Kaamax;30 chemin Victor Hugo 60000 Bretagne ;759157813;brunet@kaamax.com;Brunet;0.35
B6;Aceport Velo;74 rue des chênes 18000 Genevres ;786983471;canal@aceport velo.com;Canal;0.15
B7;Power Asx;72 chemin des petits père 4000 Cannes;653792301;garrigue@power asx.com;Garrigue;0.16
B8;Arkitt Kurtesit;130 avenue stalingrad 87000 Paris  ;782465097;roger@arkitt kurtesit.com;Roger;0.44
B9;Phosteria;172 rue des écureils 42000 Paris ;736507750;bernard@phosteria.com;Bernard;0.36
B10;Velo Varsity;74 chemin Paul Bert 44000 Paris ;717377926;diaz@velo varsity.com;Diaz;0.26
B11;Salfar Chell;172 rue des champs 49000 Paris ;741921178;robert@salfar chell.com;Robert;0.17
B12;WAVUZZ;65 avenue Paris 90000 Bordeaux  ;680166794;prats@wavuzz.com;Prats;0.39
B13;Tseptech Projects;196 allée de la ruche 35000 Paris;629898188;sarda@tseptech projects.com;Sarda;0.31
B14;Oamas Motor;17 avenue Georges Peintre 39000 Paris ;708059119;petit@oamas motor.com;Petit;0.33
B15;Hrgandrack;159 rue du bois 15000 Bordeaux ;636523530;sala@hrgandrack.com;Sala;0.25
B16;VTT Velo;157 rue du moulin 60000 Normandie ;720180320;maury@vtt velo.com;Maury;0.12
B17;Fusionage;108 chemin de la biche 61000 Lilles;671143615;planas@fusionage.com;Planas;0.08
B18;World Vtt;124 rue du lycée 11000 Strasbourg ;653769926;raynaud@world vtt.com;Raynaud;0.45
B19;Wineries Rocog;191 avenue de la fresnaie 57000 Courbevoie;600802187;bataille@wineries rocog.com;Bataille;0.16
B20;Jampos;133 avenue Henry 78300 Tours;702089541;michel@jampos.com;Michel;0.5
B21;Velo Club;57 rue Victor 10212 Caen;773987720;rey@velo club.com;Rey;0.31
B22;Jawspead;71 avenue des sapins 58000 Bordeaux;674229845;boyer@jawspead.com;Boyer;0.27
B23;The Olkins;134 chemin d'eau 49573 Limoges ;780088804;fons@the olkins.com;Fons;0.28
B24;Blimp Racehomes;30 rue stalingrad 60000 Bretagne;640979130;figueres@blimp racehomes.com;Figueres;0.31
B25;Spindell Athletics;74 chemin des pasteur 18000 Genevres;700032025;thomas@spindell athletics.com;Thomas;0.49
B26;Nichice;72 avenue Paul 04000 Breuil;633023397;marti@nichice.com;Marti;0.43
